Point Name,Year,bulk.dens.gcm3,bulk.dens.sd,water.infil,water.infil.sd,carbonA,carbonB,depth,depth.sd,CalciumA,CalciumB,CECA,CECB,ClayA,ClayB,MagnesiumA,MagnesiumB,Olsen PA,Olsen PB,Organic CarbonA,Organic CarbonB,pHA,pHB,PotassiumA,PotassiumB,SandA,SandB,SiltA,SiltB,SodiumA,SodiumB,TextureA,TextureB,Total CarbonA,Total CarbonB,Total NitrogenA,Total NitrogenB,richA,richB
TOKA-071,2018,0.733412227793711,0.16704637522852195,6.8,3.96232255123179,8.1,3.4,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TOKA-072,2015,NaN,NA,15.6,17.34358671094304,4.9,2.3,36.6,1.9493588689617927,9.8,5,33,24,36.2,40,6.8,5.8,4.2,2.3,4.9,2.3,5.6,5.4,1.7,1,27.5,20,36.2,40,0.14,0.17,Clay Loam,Clay Loam,4.9,2.3,0.4,0.24,NA,NA
TOKA-072,2018,1.0450909440112484,0.13787142340589448,10.8,15.287249589118376,4.4,2.8,38.4,3.577708763999663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TOKA-080,2015,1.0275971569894307,0.07551944790358874,13,11.022703842524301,3.3,1.8,33.4,2.302172886644268,13,13,39,42,42.5,43.8,10,11,8.7,5,3.3,1.8,5.7,5.2,0.9,0.65,21.2,21.2,36.2,35,0.3,0.45,Clay,Clay,3.3,1.8,0.3,0.2,1328.1,1238
TOKA-080,2018,1.0122295830307952,0.18458257879824275,74.8,79.99187458736043,3.2,2.2,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TOKA-089,2015,0.7845361695612794,0.14891400942453936,18.6,5.9833101206606365,8.6,5.9,37.8,1.6431676725154982,23,21,59,62,NA,NA,8.5,8.7,41,21,8.6,5.9,6,6.1,1.6,0.85,NA,NA,NA,NA,0.05,0.21,NA,NA,8.6,5.9,0.55,0.41,1663.6,1143.6
TOKA-089,2018,NaN,NA,22.2,16.57407614318216,7.8,5.3,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TOKA-090,2018,1.0142211443013587,0.07117291820397048,24.6,22.864820139244483,4.5,2.4,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TOKA-091,2015,NaN,NA,17.6,18.541844568434932,3.3,2.5,37.4,2.4083189157584592,18,16,41,39,35,33.8,8.7,8.5,13,4.4,3.3,2.5,6,5.9,1,0.59,25,26.2,40,40,0.05,0.27,Clay Loam,Clay Loam,3.3,2.5,0.27,0.25,NA,NA
TOKA-091,2018,0.9039497794597915,0.16211525286517056,10.4,6.024948132556828,3.7,2,37,6.708203932499369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TOKA-099,2015,1.264531580519902,0.17006314060343353,36.6,38.65617673800657,3,2,37,1.4142135623730951,13,14,35,34,28.8,28.8,8,8.8,9.4,3.7,3,2,5.6,5.5,1,0.72,40,41.9,31.2,29.4,0.12,0.22,Clay Loam,Clay Loam,3,2,0.29,0.21,NA,1139.3
TOKA-099,2018,1.0399531872238428,0.12911085955120088,36.4,27.996428343629837,2.7,1.7,38,4.47213595499958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TOKA-104,2015,1.2093759024728477,0.06778513296008326,347.2,291.4321533393321,2.3,1.8,37.8,0.44721359549995793,6.2,6.4,18,19,41.2,18.8,3.9,4,4.2,3.2,2.3,1.8,5.1,5,0.41,0.2,20,40,38.8,41.2,0.26,0.28,Clay,Loam,2.3,1.8,0.17,0.14,1492.5,1051.5
TOKA-104,2018,1.1957323316441464,0.11039057855882607,701.6,293.9511864238687,2.6,2.2,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TOKA-111,2015,1.0604157246829344,0.12303730886809223,174.4,269.9348069441953,3.3,1.7,37.2,1.0954451150103321,7.3,6.2,26,22,25,26.2,6.5,6.9,3.5,2.1,3.3,1.7,5.3,5.4,0.62,0.37,43.8,47.5,31.2,26.2,0.32,0.42,Loam,Loam,3.3,1.7,0.26,0.13,1296.3,1079.9
TOKA-111,2018,1.1466079672112495,0.06429601624509253,156.8,107.1083563500066,3,1.6,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TOKA-115,2015,0.8821355015204349,0.12819395729964445,14.8,9.093954035511725,3.4,2.4,34,1.224744871391589,12,11,38,37,35,41.2,10,11,6,2.4,3.4,2.4,5.7,5.4,1.2,0.8,31.2,25,33.8,33.8,0.37,0.41,Clay Loam,Clay,3.4,2.4,0.29,0.24,1647.8,1463.5
