Point,SampleYear,bulk.dens.gcm3,bulk.dens.sd,water.infil,water.infil.sd,carbonA,carbonB,depth,depth.sd,Olsen_P_(ppm)_A,pH_A,CEC_(Sum_of_Cations_me/100g)_A,Calcium_(cmol_(+)/kg)_A,Magnesium_(cmol_(+)/kg)_A,Potassium_(cmol_(+)/kg)_A,Sodium_(cmol_(+)/kg)_A,Total_Nitrogen_(%)_A,Olsen_P_(ppm)_B,pH_B,CEC_(Sum_of_Cations_me/100g)_B,Calcium_(cmol_(+)/kg)_B,Magnesium_(cmol_(+)/kg)_B,Potassium_(cmol_(+)/kg)_B,Sodium_(cmol_(+)/kg)_B,Total_Nitrogen_(%)_B,richA,richB
TOKA-099,2024,1.1180202839173141,0.15225373599364994,10.432241429674496,13.147902392931368,2.8,1.7,33.8,8.043631020876083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TOKA-104,2015,1.2093759024728477,0.06778513296008326,14.04,11.94664992558351,2.3,1.8,37.8,0.44721359549995793,4.2,5.1,18,6.2,3.9,0.41,0.26,0.17,3.2,5,19,6.4,4,0.2,0.28,0.14,1492.5,1051.5
TOKA-104,2018,1.1957323316441464,0.11039057855882607,25.396294652396975,9.285379544082602,2.6,2.2,40,0,7.6,5.7,19.4,5.07,3.9,0.397,0.2,0.23,6.3,5.9,20.2,5.54,3.9,0.254,0.26,0.2,NA,NA
TOKA-111,2015,1.0604157246829344,0.12303730886809223,6.516666666666667,8.977711599041013,3.3,1.7,37.2,1.0954451150103321,3.5,5.3,26,7.3,6.5,0.62,0.32,0.26,2.1,5.4,22,6.2,6.9,0.37,0.42,0.13,1296.3,1079.9
TOKA-111,2018,1.1466079672112495,0.06429601624509253,7.103248869843769,4.182695370943341,3,1.6,40,0,13.3,6,19.4,5.47,5.6,0.515,0.19,NA,4.2,6,22.8,5.53,7.7,0.382,0.31,NA,NA,NA
TOKA-115,2015,0.8821355015204349,0.12819395729964445,0.6466666666666667,0.4421224063788469,3.4,2.4,34,1.224744871391589,6,5.7,38,12,10,1.2,0.37,0.29,2.4,5.4,37,11,11,0.8,0.41,0.24,1647.8,1463.5
TOKA-115,2018,1.021985635856116,0.08762792454483348,2.6855340395763094,1.9019940814616738,3.1,1.7,40,0,6.5,6,27.1,8.05,9.2,0.718,0.35,NA,4.8,5.9,26.9,7.42,8.9,0.621,0.37,NA,NA,NA
TOKA-119,2015,1.2182930898462254,0.09493903457090747,0.98,0.6973561181746064,3.5,2.1,34.8,3.96232255123179,15,5.8,38,12,10,1.1,0.18,0.27,5.4,5.3,40,12,12,0.68,0.53,0.19,1311.9,1014
TOKA-119,2018,1.2078724088104025,0.06145818268447634,2.0554886793824645,0.9680942937830068,2.8,2,40,0,10.7,6,27.7,9.24,9.1,0.828,0.27,0.26,6.1,6,29.2,9.03,10,0.544,0.38,0.2,NA,NA
TOKA-122,2015,NA,NA,0.95,0.6845517592637617,4.4,1.5,37.2,1.9235384061671346,15,6,45,17,12,1.1,0.31,0.29,5.3,6.1,39,16,13,0.75,0.5,0.16,NA,NA
TOKA-122,2018,1.0154587126484513,0.1661017963368526,6.705505183145288,10.346380530385838,3.3,2.1,36.6,7.602631123499285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TOKA-126,2015,1.0538892486440006,0.17110005507497558,2.1366666666666667,2.7981988254351524,4.8,2.6,33.6,2.4083189157584592,8.6,5.8,43,16,10,0.94,0.5,0.42,2.4,5.6,40,16,11,0.7,0.46,0.25,1632.3,1205.2
TOKA-126,2018,1.2050005625990299,0.03592002512923489,2.3083215185449397,1.4899611088963136,4,2.4,40,0,7.8,6.1,31.1,12.79,8.9,0.754,0.28,NA,2.9,6.2,33.6,15.24,10.4,0.638,0.41,NA,NA,NA
TOKA-126,2021,1.0005773277349763,0.11718054099571805,1.297410485594376,0.569961371118112,4.3,2.5,38.8,1.0954451150103321,6.8,6.1,26.7,12.465,7.1,0.636,0.33,0.303,12.3,6.1,25.6,12.36,7.3,0.421,0.37,0.2644,NA,NA
TOKA-126,2024,1.011782772510632,0.16434353382477526,105.27429732381663,82.82631788555828,3.7,2.3,38.6,1.9493588689617927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TOKA-129,2015,1.17770291616889,0.17079460931499424,0.7966666666666667,0.5760738764352287,3.7,2.6,36.6,1.51657508881031,8.7,5.6,33,12,7,0.84,0.3,0.35,3.5,5.5,35,12,7.1,0.59,0.35,0.25,1525.8,1343.3
TOKA-129,2018,1.0953482527102656,0.112599735506952,1.501418496855968,1.2508939168984934,3.5,2.3,40,0,7.2,6,22.2,8.1,4.7,0.567,0.22,NA,2.5,6.2,22,8.53,4.9,0.395,0.3,NA,NA,NA
TOKA-129,2021,1.1173795187696536,0.08676699380252235,30.27380301882775,30.88956861769649,2.9,2.2,40,0,8.8,5.9,20.5,7.975,4.5,0.49,0.25,0.3189,7.4,5.8,22.7,9.11,5.6,0.423,0.41,0.2748,NA,NA
TOKA-129,2024,1.0933901757479663,0.10322283139432926,67.46144072633636,67.52142115216137,3.4,2.2,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TOKA-135,2015,1.2553031597817574,0.08551424863864143,1.88,1.3592481581946527,3.2,2.2,36.2,0.8366600265340756,9.3,5.8,32,12,6,0.92,0.3,0.29,3.9,5.6,29,12,5.8,0.59,0.34,0.21,1767.3,1357.3
TOKA-135,2018,1.1969246596592042,0.12959973813924922,12.084450919797813,17.292782962273066,3.2,2.1,40,0,10.6,6.3,19.4,8.82,4.3,0.697,0.21,0.32,5,6.1,20.1,8.99,5,0.582,0.3,0.22,NA,NA
TOKA-137,2015,1.273268254458378,0.14608866473157978,2.7666666666666666,4.149431018558783,4,2.6,37,1.224744871391589,7.5,5.6,41,15,7.8,0.67,0.37,0.28,2.7,5.7,39,15,8.2,0.36,0.44,0.21,1450.8,1031
TOKA-137,2018,1.096914714280105,0.09466806562058791,18.20420328216497,14.569699374220873,3.6,2.6,40,0,10.7,6.2,29.7,13.31,7.5,0.528,0.26,0.31,5.9,6.1,30.6,13.51,8,0.333,0.37,0.23,NA,NA
TOKA-137,2021,1.1351624842770194,0.1313188726299552,1.8916015151763195,0.9664926895681485,4,2.7,39,2.23606797749979,8,6,29.2,13.61,7.2,0.436,0.41,0.3251,6.9,5.9,29.2,13.595,7.7,0.274,0.4,0.2387,NA,NA
