field,Start.Date,End.Date,Herd,n,days,season,Pasture
5,2023-07-18T21:57:00Z,2023-07-24T04:03:00Z,Cows,46.088453,5.25416666666667,Dormant,5
5,2023-08-16T04:00:00Z,2023-08-18T04:30:00Z,Cows,46.68376,2.02083333333333,Dormant,5
5,2023-08-16T04:00:00Z,2023-08-18T04:30:00Z,k,15.605557000000001,2.02083333333333,Dormant,5
50,2024-01-28T18:26:00Z,2024-01-31T01:27:00Z,Cows,46.733523,2.29236111111111,Dormant,50
50,2024-01-28T18:26:00Z,2024-01-31T01:27:00Z,k,6.723339,2.29236111111111,Dormant,50
50,2024-01-28T18:26:00Z,2024-01-31T01:27:00Z,Non-Breeding Cattle,29.87347,2.29236111111111,Dormant,50
51,2023-12-13T21:07:00Z,2024-01-05T21:08:00Z,Wethers,5.1032036,23.0006944444444,Dormant,51
51,2023-12-13T21:07:00Z,2024-01-05T21:08:00Z,Kids,3,23.0006944444444,Dormant,51
52,2023-11-14T21:06:00Z,2023-12-13T21:07:00Z,Wethers,5.061455,29.0006944444444,Dormant,52
52,2023-11-14T21:06:00Z,2023-12-13T21:07:00Z,Kids,3,29.0006944444444,Dormant,52
55,2024-01-27T06:25:00Z,2024-01-28T18:26:00Z,Cows,46.689707000000006,1.50069444444444,Dormant,55
55,2024-01-27T06:25:00Z,2024-01-28T18:26:00Z,k,6.7090309999999995,1.50069444444444,Dormant,55
55,2024-01-27T06:25:00Z,2024-01-28T18:26:00Z,Non-Breeding Cattle,29.84466,1.50069444444444,Dormant,55
56,2023-11-10T20:31:00Z,2024-02-15T10:00:00Z,Bulls,1.7444763,96.5618055555556,Dormant,56
57,2024-01-26T06:19:00Z,2024-01-27T06:25:00Z,k,6.694722700000001,1.00416666666667,Dormant,57
57,2024-01-26T06:19:00Z,2024-01-27T06:25:00Z,Cows,46.648727,1.00416666666667,Dormant,57
57,2024-01-26T06:19:00Z,2024-01-27T06:25:00Z,Non-Breeding Cattle,29.817451000000002,1.00416666666667,Dormant,57
58A,2024-01-25T20:06:00Z,2024-01-26T06:19:00Z,Cows,46.627527,0.425694444444444,Dormant,58A
58A,2024-01-25T20:06:00Z,2024-01-26T06:19:00Z,k,6.687569000000001,0.425694444444444,Dormant,58A
58A,2024-01-25T20:06:00Z,2024-01-26T06:19:00Z,Non-Breeding Cattle,29.803445,0.425694444444444,Dormant,58A
59,2023-09-19T19:33:00Z,2023-09-23T21:02:00Z,k,5.800474599999999,4.06180555555556,Dormant,59
59,2023-09-19T19:33:00Z,2023-09-23T21:02:00Z,Cows,44.66832,4.06180555555556,Dormant,59
60,2023-09-23T21:02:00Z,2023-09-25T22:03:00Z,k,5.814782699999999,2.04236111111111,Dormant,60
60,2023-09-23T21:02:00Z,2023-09-25T22:03:00Z,Cows,44.714137,2.04236111111111,Dormant,60
